[2025-12-27 21:10:57] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"ALWTFQPRXSxlM4K7Hxcg59h"}
[2025-12-27 21:12:42] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AGxKMx4G-JjTyUkc4MN-jFT"}
[2025-12-27 21:14:11] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AnKmOS0LmC3pI_8tX1D_tA1"}
[2025-12-27 21:14:29] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"ATb5SFRK11acypWsJLxAJ2_"}
[2025-12-28 09:17:02] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"ALhORH1gPeZ4Jm9qxVgPPDz"}
[2025-12-28 09:17:02] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"ANIGxpX4XybwFCgNuMvs6pY"}
[2025-12-28 09:17:06] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"ApXdpAsJdEPmyFD5B-y37gx"}
[2025-12-28 09:47:49] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"A3HVupNlI9ZAeBLw6ktuOhB"}
[2025-12-28 11:34:31] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"A8ajgCMrkB9San0NZgeX4vU"}
[2025-12-28 11:44:43] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AghkmqAJZysICS6dZVcY2Bw"}
[2025-12-28 11:45:34] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AztquBVwvYxL-C5eJJuccqI"}
[2026-02-16 20:34:38] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AB3AGkCQZQ1JFHvitty0uwC"}
[2026-02-16 20:51:18] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"Ag4p-uK6W1l8zncjKyeQwAf"}
[2026-02-16 20:55:04] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"ANI2Ra3XjqRPcIeFNl5Mcu3"}
[2026-02-17 17:31:01] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"ASfzsWHnAVzCDaHZVHioqkC"}
[2026-02-17 18:07:28] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AGBMhKVQAMbVyQS-V1JUFKA"}
[2026-02-17 20:19:17] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AmMxmnQhE6JMvVN6NC9rJiX"}
[2026-02-17 22:55:48] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"Av9B6PSJDuz5TH99CRhQ3eT"}
[2026-02-17 23:57:29] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AreSWOemKyCexxDplMxEswG"}
[2026-02-18 00:16:04] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AX9JxyuArC6OrBqnx0YN8-Y"}
[2026-02-18 01:18:41] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"A3-5NoNYURJgM5xGZzTWorn"}
[2026-02-18 04:31:22] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"A0OpOd1xQ9WS0aU_q-h-7bE"}
[2026-02-18 07:28:38] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AqDwuLaZiIDpTVtMxE2qwyE"}
[2026-02-18 08:27:07] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AsAHastby4v5lcfSw-DhZLP"}
[2026-02-18 08:46:31] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AxJ52gY-OkTTxT8EPch597T"}
[2026-02-18 09:44:49] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"A_-kEhFoqyrMVkBFRBYXAu0"}
[2026-02-18 10:05:27] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AhajxlGd4Ota5Jn015oodGe"}
[2026-02-18 10:06:34] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"A5jvm_zvGsB3iXryXyVVbax"}
[2026-02-18 10:10:00] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"A6u8RrnybvyT1JSfo9aLFsv"}
[2026-02-18 13:01:23] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AMEzTKcjyj__8Vn3AaZJuHp"}
[2026-02-18 13:02:22] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"ACiKV6NJmU59q_WjZGwm1XL"}
[2026-02-18 13:02:27] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"Aiq4dJcLsXTpyiwWy-xHtSe"}
