[2025-12-28 10:37:11]IP: 177.2.14.104 | Status: BLOCKED | Reason: Desktop Device Detected | Country: N/A | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
[2025-12-28 10:37:52]IP: 177.2.14.104 | Status: ALLOWED | Reason: Clean Traffic | Country: BR | UA: Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1
[2025-12-28 10:41:10]IP: 173.252.107.4 | Status: BLOCKED | Reason: Bot Signature (User-Agent) | Country: N/A | UA: facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)
[2025-12-28 10:41:11]IP: 173.252.127.20 | Status: BLOCKED | Reason: Bot Signature (User-Agent) | Country: N/A | UA: facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)
[2025-12-28 10:41:11]IP: 173.252.127.23 | Status: BLOCKED | Reason: Bot Signature (User-Agent) | Country: N/A | UA: facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)
[2025-12-28 10:41:11]IP: 173.252.127.6 | Status: BLOCKED | Reason: Bot Signature (User-Agent) | Country: N/A | UA: facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)
[2025-12-28 10:41:12]IP: 173.252.127.32 | Status: BLOCKED | Reason: Bot Signature (User-Agent) | Country: N/A | UA: facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)
[2025-12-28 10:41:12]IP: 173.252.127.14 | Status: BLOCKED | Reason: Bot Signature (User-Agent) | Country: N/A | UA: facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)
[2025-12-28 10:41:12]IP: 173.252.127.24 | Status: BLOCKED | Reason: Bot Signature (User-Agent) | Country: N/A | UA: facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)
[2025-12-28 10:41:12]IP: 173.252.107.10 | Status: BLOCKED | Reason: Bot Signature (User-Agent) | Country: N/A | UA: facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)
[2025-12-28 10:41:13]IP: 173.252.107.1 | Status: BLOCKED | Reason: Bot Signature (User-Agent) | Country: N/A | UA: facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)
